title,direction,genre,duration,cast,time_slots,reservation,trailer
 NEW! PUFFIN ROCK - IL FILM,Regia:Jeremy Purcell, Genere: Animazione, Durata: 80', Cast:,"['Giovedì', '15:40', 'Venerdì', '15:40', 'Sabato', '15:40', 'Domenica', '15:40', 'Lunedì', 'n.d.', 'Martedì', 'n.d.', 'Mercoledì', 'n.d.']",https://www.victoriacinema.it/generic/scheda.php?id=44223&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/generic/notrailer.php
 SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,Regia:Alessandro Siani, Genere: Commedia, Durata: 82', Cast: Alessandro Siani,"['Giovedì', '16:20', '18:20', '20:50', '22:40', 'Venerdì', '16:20', '18:20', '20:50', '22:40', 'Sabato', '16:20', '18:20', '20:50', '22:40', 'Domenica', '16:20', '18:20', '20:50', 'Lunedì', '18:20', '20:50', 'Martedì', '18:20', '20:50', 'Mercoledì', '18:20', '20:50']",https://www.victoriacinema.it/generic/scheda.php?id=43608&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/generic/notrailer.php
 COME PUÒ UNO SCOGLIO,Regia:Gennaro Nunziante, Genere: Commedia, Durata: 87'," Cast: Rodolfo Corsato, Angelo Duro, Simone Pezzotti","['Giovedì', '18:10', '20:00', '22:45', 'Venerdì', '18:10', '20:00', '22:45', 'Sabato', '18:00', '20:00', '22:45', 'Domenica', '18:30', '21:00', 'Lunedì', '21:00', 'Martedì', '18:30', '21:00', 'Mercoledì', '18:30', '21:00']",https://www.victoriacinema.it/generic/scheda.php?id=44063&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/44063/6cfa7d27061440646f059145785f1e41B10okHhC-FqwKS7Q/0/
 WISH,"Regia:Chris Buck, Fawn Veerasunthorn", Genere: Animazione, Durata: 0'," Cast: Ariana DeBose, Alan Tudyk, Chris Pine","['Giovedì', '15:40', '17:40', '20:00', 'Venerdì', '15:40', '17:40', '19:40', 'Sabato', '15:40', '17:40', '20:00', 'Domenica', '15:40', '17:40', 'Lunedì', '17:40', 'Martedì', '17:40', 'Mercoledì', '17:40', '20:20']",https://www.victoriacinema.it/generic/scheda.php?id=43607&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/43607/9a7629fc3f72c1abf052ff11661046a4B10okU_ENaaZYIaE/0/
 AQUAMAN E IL REGNO PERDUTO,Regia:James Wan," Genere: Azione, Fantascienza", Durata: 101'," Cast: Jason Momoa, Patrick Wilson, Amber Heard","['Giovedì', '15:00', '17:35', '20:15', '22:45', 'Venerdì', '15:00', '17:35', '20:15', '22:45', 'Sabato', '15:00', '17:35', '20:15', '22:45', 'Domenica', '15:00', '17:35', '20:15', 'Lunedì', '17:35', '20:45', 'Martedì', '17:35', '20:45', 'Mercoledì', '17:35', '20:45']",https://www.victoriacinema.it/generic/scheda.php?id=43370&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/43370/f5a2dc59a7ede334ac5ecb291d6ff312B10ok7aWCwLqmgFg/0/
 SANTOCIELO,Regia:Francesco Amato, Genere: Commedia, Durata: 101'," Cast: Salvo Ficarra, Valentino Picone, Barbara Ronchi","['Giovedì', '21:45', 'Venerdì', '21:45', 'Sabato', '21:45', 'Domenica', '20:30', 'Lunedì', 'n.d.', 'Martedì', 'n.d.', 'Mercoledì', 'n.d.']",https://www.victoriacinema.it/generic/scheda.php?id=44015&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/44015/f5191c1f911b7ead1a903bbe8e1de031B10ok1UnSKTlDPy8/0/
 PRENDI IL VOLO,"Regia:Benjamin Renner, Guylo Homsy", Genere: Animazione, Durata: 101', Cast:,"['Giovedì', '16:00', 'Venerdì', '16:00', 'Sabato', '16:00', 'Domenica', '16:00', 'Lunedì', 'n.d.', 'Martedì', 'n.d.', 'Mercoledì', 'n.d.']",https://www.victoriacinema.it/generic/scheda.php?id=43605&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/43605/a0cc53abc17fb095dda2c90f35d71e1aB10oktVlr_GLrQ4M/0/
 NEW! 50KM ALL'ORA,Regia:Fabio De Luigi, Genere: Commedia, Durata: 111'," Cast: Stefano Accorsi, Fabio De Luigi, Alessandro Haber","['Giovedì', '15:15', '17:50', '20:30', '22:45', 'Venerdì', '15:15', '17:50', '20:30', '20:45', '22:45', 'Sabato', '15:15', '17:50', '20:30', '22:45', 'Domenica', '15:15', '17:50', '20:30', 'Lunedì', '17:50', '21:00', 'Martedì', '17:50', '21:00', 'Mercoledì', '17:50', '21:00']",https://www.victoriacinema.it/generic/scheda.php?id=44193&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/44193/56f678a4feb47c58b88705760deccc64B10oklssYXyWA0Xs/0/
 IL RAGAZZO E L'AIRONE,Regia:Hayao Miyazaki, Genere: Animazione, Durata: 124', Cast:,"['Giovedì', '15:10', '17:40', '20:15', '21:50', '22:45', 'Venerdì', '15:10', '17:40', '20:15', '22:45', 'Sabato', '15:10', '17:40', '20:15', '21:45', '22:45', 'Domenica', '15:10', '17:40', '20:15', 'Lunedì', '17:40', '20:40', 'Martedì', '20:40', 'Mercoledì', '17:40', '20:40']",https://www.victoriacinema.it/generic/scheda.php?id=44064&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/generic/notrailer.php
 THE BOY AND THE HERON | ORIGINAL VERSION CON SOTTOTITOLI IN ITALIANO,Regia:Hayao Miyazaki, Genere: Animazione, Durata: 124', Cast:,"['Giovedì', 'n.d.', 'Venerdì', 'n.d.', 'Sabato', 'n.d.', 'Domenica', 'n.d.', 'Lunedì', '17:50', '21:00', 'Martedì', 'n.d.', 'Mercoledì', 'n.d.']",https://www.victoriacinema.it/generic/scheda.php?id=44257&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/generic/notrailer.php
 ONE LIFE [2023],Regia:James Hawes, Genere: Drammatico, Durata: 110'," Cast: Anthony Hopkins, Johnny Flynn, Helena Bonham Carter","['Giovedì', '17:30', '19:40', 'Venerdì', '17:30', '21:40', 'Sabato', '17:30', '19:40', 'Domenica', '18:20', '20:30', 'Lunedì', '18:00', '20:30', 'Martedì', '18:00', 'Mercoledì', '18:00', '20:30']",https://www.victoriacinema.it/generic/scheda.php?id=44206&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/44206/26e0f523f64af64bf3c1a3ae8f932daaB10okGt934__a7K8/0/
 WISH | ORIGINAL VERSION CON SOTTOTITOLI IN ITALIANO,"Regia:Chris Buck, Fawn Veerasunthorn", Genere: Animazione, Durata: 0'," Cast: Ariana DeBose, Alan Tudyk, Chris Pine","['Giovedì', 'n.d.', 'Venerdì', 'n.d.', 'Sabato', 'n.d.', 'Domenica', 'n.d.', 'Lunedì', 'n.d.', 'Martedì', '17:50', '21:00', 'Mercoledì', 'n.d.']",https://www.victoriacinema.it/generic/scheda.php?id=44180&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/trailer/44180/9a7629fc3f72c1abf052ff11661046a4B10okU_ENaaZYIaE/0/
 FERRARI [2023],Regia:Michael Mann," Genere: Biografico, Drammatico", Durata: 101'," Cast: Adam Driver, Shailene Woodley, Penélope Cruz","['Giovedì', '15:00', '17:35', '20:10', '22:45', 'Venerdì', '15:00', '17:35', '20:10', '22:45', 'Sabato', '15:00', '17:35', '20:10', '22:45', 'Domenica', '15:00', '17:35', '20:10', 'Lunedì', '17:35', '20:30', 'Martedì', '17:35', '20:30', 'Mercoledì', '17:35', '20:30']",https://www.victoriacinema.it/generic/scheda.php?id=43861&idcine=1760&idwt=5103#inside,http://www.youtrailer.com/generic/notrailer.php
